# Film SSF exported from spektrafilm profile fujifilm_c200.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000093,0.000653,0.486703
410,0.000109,0.000988,0.553410
420,0.000129,0.001565,0.607229
430,0.000155,0.002618,0.631300
440,0.000189,0.004670,0.644533
450,0.000235,0.008998,0.663436
460,0.000298,0.019043,0.768587
470,0.000387,0.044276,1.000000
480,0.000517,0.084124,0.841407
490,0.000713,0.142596,0.339687
500,0.001020,0.212007,0.052199
510,0.001527,0.276004,0.014723
520,0.002412,0.343256,0.004071
530,0.004067,0.491428,0.001383
540,0.007433,0.703079,0.000551
550,0.015019,0.910220,0.000249
560,0.034487,1.000000,0.000125
570,0.093515,0.824802,0.000068
580,0.249758,0.240170,0.000040
590,0.476858,0.033284,0.000025
600,0.709130,0.017933,0.000016
610,0.853953,0.006699,0.000011
620,0.904487,0.002841,0.000008
630,0.949187,0.001337,0.000006
640,1.000000,0.000686,0.000004
650,0.821194,0.000378,0.000003
660,0.249550,0.000222,0.000002
670,0.068646,0.000137,0.000002
680,0.021507,0.000088,0.000002
690,0.008176,0.000059,0.000001
700,0.003607,0.000041,0.000001
