# Film SSF exported from spektrafilm profile kodak_ektachrome_100.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000021,0.000060,0.227079
410,0.000025,0.000098,0.595078
420,0.000029,0.000168,0.847869
430,0.000034,0.000307,1.000000
440,0.000041,0.000602,0.660243
450,0.000050,0.001291,0.691653
460,0.000063,0.003075,0.759538
470,0.000079,0.008327,0.431863
480,0.000103,0.026445,0.093561
490,0.000138,0.084154,0.040040
500,0.000189,0.188267,0.024762
510,0.000270,0.287948,0.011637
520,0.000401,0.391496,0.005796
530,0.000627,0.573189,0.003129
540,0.001043,0.796597,0.001845
550,0.001858,1.000000,0.001167
560,0.003496,0.956304,0.000782
570,0.004559,0.987336,0.000549
580,0.019423,0.670500,0.000401
590,0.092888,0.075268,0.000303
600,0.190300,0.015386,0.000235
610,0.255988,0.002573,0.000187
620,0.362368,0.000541,0.000152
630,0.515284,0.000140,0.000126
640,0.763174,0.000043,0.000105
650,1.000000,0.000015,0.000090
660,0.279530,0.000006,0.000078
670,0.027448,0.000003,0.000068
680,0.006496,0.000001,0.000060
690,0.001791,0.000001,0.000053
700,0.000492,0.000000,0.000047
