# Film SSF exported from spektrafilm profile kodak_ektar_100.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000315,0.131206,0.611135
410,0.000354,0.135036,0.788648
420,0.000402,0.111887,0.740391
430,0.000460,0.089959,0.786652
440,0.000533,0.067798,0.851747
450,0.000624,0.062250,0.749110
460,0.000742,0.061927,0.821492
470,0.000896,0.062291,1.000000
480,0.001100,0.102788,0.425288
490,0.001380,0.245416,0.041439
500,0.001773,0.359965,0.004255
510,0.002342,0.436054,0.000629
520,0.003196,0.554823,0.000123
530,0.004535,0.753017,0.000030
540,0.006743,0.941484,0.000009
550,0.010608,1.000000,0.000003
560,0.017896,0.905523,0.000001
570,0.020792,0.713304,0.000001
580,0.101988,0.349973,0.000000
590,0.290174,0.041866,0.000000
600,0.427834,0.006080,0.000000
610,0.522095,0.001061,0.000000
620,0.546787,0.000217,0.000000
630,0.623794,0.000051,0.000000
640,0.800881,0.000013,0.000000
650,1.000000,0.000004,0.000000
660,0.799469,0.000001,0.000000
670,0.254563,0.000000,0.000000
680,0.100264,0.000000,0.000000
690,0.043681,0.000000,0.000000
700,0.016770,0.000000,0.000000
