# Film SSF exported from spektrafilm profile kodak_gold_200.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.025499,0.097926,0.430133
410,0.021423,0.096106,0.575953
420,0.015260,0.077786,0.541431
430,0.010747,0.062270,0.544797
440,0.008019,0.050345,0.616696
450,0.006651,0.048615,0.589296
460,0.006248,0.048759,0.663602
470,0.006310,0.050708,1.000000
480,0.005978,0.084399,0.482646
490,0.007642,0.173435,0.038956
500,0.009830,0.270078,0.010294
510,0.012394,0.331266,0.003471
520,0.015583,0.427010,0.001113
530,0.018067,0.604316,0.000411
540,0.021318,0.891687,0.000171
550,0.026433,1.000000,0.000079
560,0.036940,0.830555,0.000040
570,0.048328,0.445331,0.000021
580,0.093861,0.180522,0.000012
590,0.149009,0.028250,0.000007
600,0.207245,0.005519,0.000005
610,0.268863,0.001127,0.000003
620,0.364338,0.000264,0.000002
630,0.469631,0.000069,0.000001
640,0.696932,0.000020,0.000001
650,1.000000,0.000007,0.000001
660,0.863033,0.000002,0.000001
670,0.258499,0.000001,0.000000
680,0.085530,0.000000,0.000000
690,0.037794,0.000000,0.000000
700,0.015560,0.000000,0.000000
