# Film SSF exported from spektrafilm profile kodak_kodachrome_64.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000081,0.002316,0.397848
410,0.000108,0.003206,0.611040
420,0.000145,0.004585,1.000000
430,0.000201,0.006795,0.985025
440,0.000284,0.010364,0.823830
450,0.000413,0.014395,0.638168
460,0.000617,0.018739,0.500298
470,0.000946,0.023574,0.383974
480,0.001458,0.044605,0.243439
490,0.001773,0.077609,0.120009
500,0.001974,0.131592,0.049279
510,0.002634,0.224714,0.018494
520,0.003942,0.351723,0.006461
530,0.005154,0.506613,0.002168
540,0.006157,0.757452,0.000809
550,0.007534,1.000000,0.000349
560,0.012379,0.924060,0.000169
570,0.023020,0.619818,0.000090
580,0.050852,0.222648,0.000052
590,0.129263,0.035515,0.000032
600,0.203191,0.006005,0.000020
610,0.262347,0.002140,0.000014
620,0.339002,0.000701,0.000010
630,0.564773,0.000259,0.000007
640,0.818432,0.000106,0.000005
650,1.000000,0.000047,0.000004
660,0.610456,0.000023,0.000003
670,0.213629,0.000012,0.000002
680,0.033899,0.000006,0.000002
690,0.008112,0.000004,0.000002
700,0.002523,0.000002,0.000001
