# Film SSF exported from spektrafilm profile kodak_portra_400.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000565,0.110008,1.000000
410,0.000684,0.097762,0.926585
420,0.000840,0.081988,0.903207
430,0.001050,0.071096,0.908134
440,0.001337,0.064248,0.834559
450,0.001738,0.064143,0.823608
460,0.002316,0.068209,0.947606
470,0.003172,0.089237,0.698334
480,0.004478,0.168978,0.240435
490,0.006516,0.283359,0.073285
500,0.009170,0.365269,0.030679
510,0.012876,0.446291,0.011690
520,0.016408,0.558668,0.004560
530,0.017173,0.753350,0.001993
540,0.015861,1.000000,0.000966
550,0.017624,0.963489,0.000510
560,0.031648,0.761177,0.000289
570,0.070492,0.574620,0.000174
580,0.192158,0.253712,0.000110
590,0.333777,0.057529,0.000073
600,0.454045,0.010515,0.000050
610,0.589171,0.002214,0.000035
620,0.656385,0.000534,0.000026
630,0.663885,0.000145,0.000019
640,0.951661,0.000044,0.000015
650,1.000000,0.000014,0.000012
660,0.344319,0.000005,0.000009
670,0.058601,0.000002,0.000007
680,0.009536,0.000001,0.000006
690,0.001837,0.000000,0.000005
700,0.000416,0.000000,0.000004
