# Film SSF exported from spektrafilm profile fujifilm_pro_400h.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000045,0.000949,0.179793
410,0.000053,0.001299,0.572607
420,0.000063,0.001844,0.669496
430,0.000075,0.002729,0.660956
440,0.000092,0.004236,0.626363
450,0.000114,0.006872,0.613254
460,0.000145,0.010102,0.721313
470,0.000188,0.014243,1.000000
480,0.000252,0.030254,0.414434
490,0.000350,0.087404,0.077337
500,0.000506,0.222673,0.025602
510,0.000769,0.356498,0.010544
520,0.001240,0.534211,0.004655
530,0.002151,0.735636,0.002000
540,0.004091,0.894020,0.000946
550,0.008745,1.000000,0.000489
560,0.021764,0.934556,0.000272
570,0.052298,0.520661,0.000161
580,0.162838,0.129618,0.000101
590,0.428537,0.019301,0.000066
600,0.855571,0.002975,0.000045
610,1.000000,0.000584,0.000032
620,0.966678,0.000139,0.000023
630,0.994816,0.000039,0.000017
640,0.784587,0.000013,0.000013
650,0.259298,0.000005,0.000010
660,0.052725,0.000002,0.000008
670,0.011859,0.000001,0.000006
680,0.003420,0.000000,0.000005
690,0.001194,0.000000,0.000004
700,0.000485,0.000000,0.000004
