# Film SSF exported from spektrafilm profile fujifilm_provia_100f.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000760,0.001474,0.081375
410,0.000822,0.001922,0.403140
420,0.000894,0.002584,0.671596
430,0.000979,0.003599,0.748769
440,0.001081,0.005233,0.767264
450,0.001205,0.008011,0.858841
460,0.001356,0.013062,1.000000
470,0.001545,0.023032,0.845773
480,0.001785,0.044822,0.400130
490,0.002094,0.090234,0.103086
500,0.002505,0.176009,0.023917
510,0.003063,0.291132,0.006438
520,0.003847,0.448672,0.002121
530,0.004993,0.653322,0.000819
540,0.006745,0.888125,0.000359
550,0.009579,1.000000,0.000174
560,0.014501,0.894112,0.000092
570,0.023850,0.870140,0.000052
580,0.039175,0.970956,0.000032
590,0.077201,0.546987,0.000020
600,0.172320,0.055324,0.000013
610,0.254318,0.007676,0.000009
620,0.335073,0.001412,0.000006
630,0.505091,0.000326,0.000005
640,0.837870,0.000090,0.000004
650,1.000000,0.000029,0.000003
660,0.452891,0.000011,0.000002
670,0.040569,0.000004,0.000002
680,0.003819,0.000002,0.000001
690,0.000542,0.000001,0.000001
700,0.000105,0.000000,0.000001
