# Film SSF exported from spektrafilm profile fujifilm_xtra_400.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000111,0.000228,0.188849
410,0.000129,0.000337,0.500814
420,0.000152,0.000522,0.621278
430,0.000181,0.000855,0.642519
440,0.000219,0.001499,0.646604
450,0.000269,0.002855,0.664937
460,0.000339,0.006029,0.770229
470,0.000436,0.014501,1.000000
480,0.000577,0.039993,0.829386
490,0.000788,0.096735,0.222709
500,0.001117,0.180494,0.009273
510,0.001657,0.255418,0.000648
520,0.002597,0.326269,0.000071
530,0.004348,0.486243,0.000011
540,0.007907,0.721726,0.000002
550,0.015955,0.943651,0.000001
560,0.036800,1.000000,0.000000
570,0.101205,0.689297,0.000000
580,0.272596,0.129955,0.000000
590,0.523085,0.015225,0.000000
600,0.773991,0.002425,0.000000
610,0.929115,0.000507,0.000000
620,0.980978,0.000132,0.000000
630,1.000000,0.000041,0.000000
640,0.883147,0.000014,0.000000
650,0.345459,0.000006,0.000000
660,0.104721,0.000003,0.000000
670,0.033186,0.000001,0.000000
680,0.012577,0.000001,0.000000
690,0.005603,0.000000,0.000000
700,0.002827,0.000000,0.000000
