# Film SSF exported from spektrafilm profile kodak_ultramax_400.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000216,0.027152,0.743384
410,0.000272,0.026992,0.976387
420,0.000349,0.022687,0.908311
430,0.000455,0.019272,0.905935
440,0.000606,0.016024,0.926423
450,0.000825,0.015754,0.784831
460,0.001153,0.017713,0.790713
470,0.001657,0.019530,1.000000
480,0.002454,0.041518,0.530499
490,0.003701,0.148815,0.127516
500,0.005194,0.251913,0.028447
510,0.007463,0.318342,0.008675
520,0.011043,0.426765,0.003327
530,0.012725,0.600191,0.001244
540,0.013515,0.805763,0.000526
550,0.016476,1.000000,0.000246
560,0.027346,0.859327,0.000125
570,0.036571,0.570562,0.000069
580,0.097013,0.347765,0.000040
590,0.199983,0.045485,0.000024
600,0.261507,0.003079,0.000016
610,0.340941,0.000262,0.000010
620,0.429299,0.000028,0.000007
630,0.520785,0.000004,0.000005
640,0.767403,0.000001,0.000004
650,1.000000,0.000000,0.000003
660,0.860682,0.000000,0.000002
670,0.314586,0.000000,0.000002
680,0.114685,0.000000,0.000001
690,0.048486,0.000000,0.000001
700,0.006330,0.000000,0.000001
