# Film SSF exported from spektrafilm profile fujifilm_velvia_100.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000650,0.000264,0.061434
410,0.000725,0.000362,0.417655
420,0.000815,0.000516,0.715497
430,0.000924,0.000766,0.809981
440,0.001059,0.001193,0.969866
450,0.001228,0.001973,1.000000
460,0.001443,0.003507,0.685548
470,0.001721,0.006807,0.614578
480,0.002088,0.014760,0.376679
490,0.002583,0.035801,0.207026
500,0.003270,0.086280,0.144613
510,0.004251,0.188699,0.060824
520,0.005703,0.317718,0.022082
530,0.007938,0.574872,0.008759
540,0.011534,0.807638,0.003965
550,0.017511,1.000000,0.001995
560,0.025682,0.814529,0.001094
570,0.034585,0.729647,0.000643
580,0.064725,0.639461,0.000402
590,0.131085,0.247845,0.000263
600,0.213911,0.031288,0.000180
610,0.322119,0.004168,0.000128
620,0.486074,0.000749,0.000094
630,0.722018,0.000170,0.000070
640,1.000000,0.000047,0.000054
650,0.839507,0.000015,0.000043
660,0.428493,0.000006,0.000034
670,0.222717,0.000002,0.000028
680,0.085740,0.000001,0.000023
690,0.019985,0.000000,0.000019
700,0.005578,0.000000,0.000016
