# Film SSF exported from spektrafilm profile kodak_verita_200d.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000357,0.053945,0.817956
410,0.000419,0.048926,0.910425
420,0.000497,0.046753,0.895707
430,0.000597,0.036142,0.843384
440,0.000730,0.029988,0.849304
450,0.000907,0.027348,0.731464
460,0.001150,0.031233,0.798070
470,0.001492,0.034455,1.000000
480,0.001985,0.087978,0.499249
490,0.002721,0.204826,0.098051
500,0.003850,0.294683,0.034464
510,0.005609,0.361840,0.008594
520,0.007801,0.453563,0.002412
530,0.008598,0.618485,0.000802
540,0.007919,0.846130,0.000306
550,0.009349,1.000000,0.000131
560,0.017733,0.794855,0.000061
570,0.034655,0.612148,0.000031
580,0.114872,0.436261,0.000017
590,0.295721,0.060290,0.000010
600,0.478015,0.009098,0.000006
610,0.666862,0.001582,0.000004
620,0.788506,0.000321,0.000002
630,0.777685,0.000075,0.000002
640,0.791950,0.000020,0.000001
650,1.000000,0.000006,0.000001
660,0.654959,0.000002,0.000001
670,0.082037,0.000001,0.000000
680,0.011334,0.000000,0.000000
690,0.001918,0.000000,0.000000
700,0.000395,0.000000,0.000000
