# Film SSF exported from spektrafilm profile kodak_vision3_200t.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000014,0.000139,0.662338
410,0.000017,0.000213,0.656329
420,0.000020,0.000340,0.754819
430,0.000025,0.000576,0.884423
440,0.000031,0.001045,1.000000
450,0.000040,0.002056,0.837017
460,0.000053,0.004474,0.837351
470,0.000071,0.011026,0.896664
480,0.000098,0.031784,0.432673
490,0.000140,0.108096,0.079481
500,0.000210,0.240082,0.027590
510,0.000330,0.341489,0.013152
520,0.000549,0.451259,0.004524
530,0.000981,0.556929,0.001778
540,0.001910,0.764334,0.000788
550,0.004136,1.000000,0.000386
560,0.010243,0.810346,0.000205
570,0.023210,0.617361,0.000116
580,0.082791,0.368540,0.000070
590,0.248464,0.064239,0.000044
600,0.391041,0.007102,0.000029
610,0.605598,0.001076,0.000020
620,0.801036,0.000216,0.000014
630,0.890219,0.000054,0.000010
640,1.000000,0.000016,0.000008
650,0.991939,0.000006,0.000006
660,0.687896,0.000002,0.000005
670,0.173587,0.000001,0.000004
680,0.023763,0.000000,0.000003
690,0.004321,0.000000,0.000002
700,0.001012,0.000000,0.000002
