# Film SSF exported from spektrafilm profile kodak_vision3_250d.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000088,0.013525,0.787256
410,0.000104,0.014329,0.809419
420,0.000125,0.012002,0.770983
430,0.000153,0.010256,0.844879
440,0.000190,0.008765,0.883779
450,0.000240,0.009900,0.783627
460,0.000308,0.013342,0.901240
470,0.000405,0.015640,1.000000
480,0.000547,0.034317,0.457282
490,0.000758,0.119877,0.090072
500,0.001086,0.254333,0.032151
510,0.001612,0.358904,0.013097
520,0.002482,0.471637,0.004222
530,0.003881,0.614427,0.001448
540,0.004522,0.809614,0.000568
550,0.005301,1.000000,0.000249
560,0.008620,0.807562,0.000119
570,0.013932,0.605735,0.000062
580,0.054689,0.378496,0.000034
590,0.171045,0.073417,0.000020
600,0.300304,0.010058,0.000012
610,0.459195,0.001645,0.000008
620,0.644018,0.000318,0.000005
630,0.697852,0.000071,0.000004
640,0.826743,0.000018,0.000003
650,1.000000,0.000005,0.000002
660,0.922151,0.000002,0.000001
670,0.423179,0.000001,0.000001
680,0.165701,0.000000,0.000001
690,0.057813,0.000000,0.000001
700,0.007663,0.000000,0.000001
